Cause_of_death,Location,FIPS,Year,Mortality_rate
Neonatal disorders,North Carolina,37.0,1990,7.52
Neonatal disorders,North Dakota,38.0,1990,4.65
Neonatal disorders,Ohio,39.0,1990,6.45
Neonatal disorders,Oklahoma,40.0,1990,5.73
Neonatal disorders,Oregon,41.0,1990,4.48
Neonatal disorders,Pennsylvania,42.0,1990,6.64
Neonatal disorders,Rhode Island,44.0,1990,5.87
Neonatal disorders,South Carolina,45.0,1990,7.94
Neonatal disorders,South Dakota,46.0,1990,5.38
Neonatal disorders,Tennessee,47.0,1990,6.72
Neonatal disorders,Texas,48.0,1990,5.31
Neonatal disorders,Utah,49.0,1990,3.76
Neonatal disorders,Vermont,50.0,1990,4.41
Neonatal disorders,Virginia,51.0,1990,6.93
Neonatal disorders,Washington,53.0,1990,4.26
Neonatal disorders,West Virginia,54.0,1990,5.42
Neonatal disorders,Wisconsin,55.0,1990,5.15
Neonatal disorders,Wyoming,56.0,1990,5.00
Neonatal disorders,United States,,1995,4.71
Neonatal disorders,Alabama,1.0,1995,6.08
Neonatal disorders,Alaska,2.0,1995,3.59
Neonatal disorders,Arizona,4.0,1995,4.06
Neonatal disorders,Arkansas,5.0,1995,4.69
Neonatal disorders,California,6.0,1995,3.78
Neonatal disorders,Colorado,8.0,1995,3.87
Neonatal disorders,Connecticut,9.0,1995,4.86
Neonatal disorders,Delaware,10.0,1995,6.19
Neonatal disorders,District of Columbia,11.0,1995,13.17
Neonatal disorders,Florida,12.0,1995,5.15
Neonatal disorders,Georgia,13.0,1995,6.01
Neonatal disorders,Hawaii,15.0,1995,4.23
Neonatal disorders,Idaho,16.0,1995,3.62
Neonatal disorders,Illinois,17.0,1995,5.80
Neonatal disorders,Indiana,18.0,1995,4.90
Neonatal disorders,Iowa,19.0,1995,3.46
Neonatal disorders,Kansas,20.0,1995,4.17
Neonatal disorders,Kentucky,21.0,1995,4.13
Neonatal disorders,Louisiana,22.0,1995,5.82
Neonatal disorders,Maine,23.0,1995,3.46
Neonatal disorders,Maryland,24.0,1995,6.25
Neonatal disorders,Massachusetts,25.0,1995,3.91
Neonatal disorders,Michigan,26.0,1995,5.68
Neonatal disorders,Minnesota,27.0,1995,3.37
Neonatal disorders,Mississippi,28.0,1995,6.33
Neonatal disorders,Missouri,29.0,1995,4.66
Neonatal disorders,Montana,30.0,1995,3.74
Neonatal disorders,Nebraska,31.0,1995,3.77
Neonatal disorders,Nevada,32.0,1995,3.32
Neonatal disorders,New Hampshire,33.0,1995,3.31
Neonatal disorders,New Jersey,34.0,1995,4.68
Neonatal disorders,New Mexico,35.0,1995,3.80
Neonatal disorders,New York,36.0,1995,5.23
Neonatal disorders,North Carolina,37.0,1995,5.98
Neonatal disorders,North Dakota,38.0,1995,3.63
Neonatal disorders,Ohio,39.0,1995,5.19
Neonatal disorders,Oklahoma,40.0,1995,4.59
Neonatal disorders,Oregon,41.0,1995,3.36
Neonatal disorders,Pennsylvania,42.0,1995,5.22
Neonatal disorders,Rhode Island,44.0,1995,4.55
Neonatal disorders,South Carolina,45.0,1995,6.26
Neonatal disorders,South Dakota,46.0,1995,4.14
Neonatal disorders,Tennessee,47.0,1995,5.39
Neonatal disorders,Texas,48.0,1995,3.93
Neonatal disorders,Utah,49.0,1995,3.00
Neonatal disorders,Vermont,50.0,1995,3.29
Neonatal disorders,Virginia,51.0,1995,5.33
Neonatal disorders,Washington,53.0,1995,3.25
Neonatal disorders,West Virginia,54.0,1995,4.27
Neonatal disorders,Wisconsin,55.0,1995,4.02
Neonatal disorders,Wyoming,56.0,1995,3.89
Neonatal disorders,United States,,2000,4.50
Neonatal disorders,Alabama,1.0,2000,6.21
Neonatal disorders,Alaska,2.0,2000,3.37
Neonatal disorders,Arizona,4.0,2000,4.01
Neonatal disorders,Arkansas,5.0,2000,4.76
Neonatal disorders,California,6.0,2000,3.37
Neonatal disorders,Colorado,8.0,2000,3.59
Neonatal disorders,Connecticut,9.0,2000,4.62
Neonatal disorders,Delaware,10.0,2000,6.30
Neonatal disorders,District of Columbia,11.0,2000,11.31
Neonatal disorders,Florida,12.0,2000,4.95
Neonatal disorders,Georgia,13.0,2000,5.83
Neonatal disorders,Hawaii,15.0,2000,4.05
Neonatal disorders,Idaho,16.0,2000,3.58
Neonatal disorders,Illinois,17.0,2000,5.46
Neonatal disorders,Indiana,18.0,2000,4.79
Neonatal disorders,Iowa,19.0,2000,3.38
Neonatal disorders,Kansas,20.0,2000,4.15
Neonatal disorders,Kentucky,21.0,2000,4.16
Neonatal disorders,Louisiana,22.0,2000,5.89
Neonatal disorders,Maine,23.0,2000,3.40
Neonatal disorders,Maryland,24.0,2000,5.90
Neonatal disorders,Massachusetts,25.0,2000,3.70
Neonatal disorders,Michigan,26.0,2000,5.53
Neonatal disorders,Minnesota,27.0,2000,3.06
Neonatal disorders,Mississippi,28.0,2000,6.45
Neonatal disorders,Missouri,29.0,2000,4.49
Neonatal disorders,Montana,30.0,2000,3.61
Neonatal disorders,Nebraska,31.0,2000,3.69
Neonatal disorders,Nevada,32.0,2000,3.44
Neonatal disorders,New Hampshire,33.0,2000,3.21
Neonatal disorders,New Jersey,34.0,2000,4.40
Neonatal disorders,New Mexico,35.0,2000,3.68
Neonatal disorders,New York,36.0,2000,4.54
Neonatal disorders,North Carolina,37.0,2000,5.90
Neonatal disorders,North Dakota,38.0,2000,3.60
Neonatal disorders,Ohio,39.0,2000,5.02
Neonatal disorders,Oklahoma,40.0,2000,4.63
Neonatal disorders,Oregon,41.0,2000,3.19
Neonatal disorders,Pennsylvania,42.0,2000,5.07
Neonatal disorders,Rhode Island,44.0,2000,4.69
Neonatal disorders,South Carolina,45.0,2000,6.16
Neonatal disorders,South Dakota,46.0,2000,3.97
Neonatal disorders,Tennessee,47.0,2000,5.46
Neonatal disorders,Texas,48.0,2000,3.87
Neonatal disorders,Utah,49.0,2000,2.93
Neonatal disorders,Vermont,50.0,2000,3.10
Neonatal disorders,Virginia,51.0,2000,5.09
Neonatal disorders,Washington,53.0,2000,3.03
Neonatal disorders,West Virginia,54.0,2000,4.32
Neonatal disorders,Wisconsin,55.0,2000,3.89
Neonatal disorders,Wyoming,56.0,2000,3.85
Neonatal disorders,United States,,2005,4.44
Neonatal disorders,Alabama,1.0,2005,6.32
Neonatal disorders,Alaska,2.0,2005,3.32
Neonatal disorders,Arizona,4.0,2005,4.04
Neonatal disorders,Arkansas,5.0,2005,4.91
Neonatal disorders,California,6.0,2005,3.30
Neonatal disorders,Colorado,8.0,2005,3.65
Neonatal disorders,Connecticut,9.0,2005,4.56
Neonatal disorders,Delaware,10.0,2005,6.13
Neonatal disorders,District of Columbia,11.0,2005,10.76
Neonatal disorders,Florida,12.0,2005,4.89
Neonatal disorders,Georgia,13.0,2005,5.67
Neonatal disorders,Hawaii,15.0,2005,3.99
Neonatal disorders,Idaho,16.0,2005,3.54
Neonatal disorders,Illinois,17.0,2005,5.24
Neonatal disorders,Indiana,18.0,2005,4.88
Neonatal disorders,Iowa,19.0,2005,3.34
Neonatal disorders,Kansas,20.0,2005,4.25
Neonatal disorders,Kentucky,21.0,2005,4.17
Neonatal disorders,Louisiana,22.0,2005,6.05
Neonatal disorders,Maine,23.0,2005,3.47
Neonatal disorders,Maryland,24.0,2005,5.79
Neonatal disorders,Massachusetts,25.0,2005,3.65
Neonatal disorders,Michigan,26.0,2005,5.34
Neonatal disorders,Minnesota,27.0,2005,2.92
Neonatal disorders,Mississippi,28.0,2005,6.62
Neonatal disorders,Missouri,29.0,2005,4.49
Neonatal disorders,Montana,30.0,2005,3.56
Neonatal disorders,Nebraska,31.0,2005,3.64
Neonatal disorders,Nevada,32.0,2005,3.61
Neonatal disorders,New Hampshire,33.0,2005,3.24
Neonatal disorders,New Jersey,34.0,2005,4.21
Neonatal disorders,New Mexico,35.0,2005,3.73
Neonatal disorders,New York,36.0,2005,4.33
Neonatal disorders,North Carolina,37.0,2005,5.81
Neonatal disorders,North Dakota,38.0,2005,3.59
Neonatal disorders,Ohio,39.0,2005,5.04
Neonatal disorders,Oklahoma,40.0,2005,4.81
Neonatal disorders,Oregon,41.0,2005,3.12
Neonatal disorders,Pennsylvania,42.0,2005,5.11
Neonatal disorders,Rhode Island,44.0,2005,4.62
Neonatal disorders,South Carolina,45.0,2005,6.11
Neonatal disorders,South Dakota,46.0,2005,3.97
Neonatal disorders,Tennessee,47.0,2005,5.40
Neonatal disorders,Texas,48.0,2005,3.96
Neonatal disorders,Utah,49.0,2005,2.89
Neonatal disorders,Vermont,50.0,2005,2.97
Neonatal disorders,Virginia,51.0,2005,4.93
Neonatal disorders,Washington,53.0,2005,2.96
Neonatal disorders,West Virginia,54.0,2005,4.47
Neonatal disorders,Wisconsin,55.0,2005,3.89
Neonatal disorders,Wyoming,56.0,2005,3.86
Neonatal disorders,United States,,2010,3.75
Neonatal disorders,Alabama,1.0,2010,5.58
Neonatal disorders,Alaska,2.0,2010,2.69
Neonatal disorders,Arizona,4.0,2010,3.19
Neonatal disorders,Arkansas,5.0,2010,4.23
Neonatal disorders,California,6.0,2010,2.66
Neonatal disorders,Colorado,8.0,2010,3.01
Neonatal disorders,Connecticut,9.0,2010,3.82
Neonatal disorders,Delaware,10.0,2010,5.11
Neonatal disorders,District of Columbia,11.0,2010,7.98
Neonatal disorders,Florida,12.0,2010,4.14
Neonatal disorders,Georgia,13.0,2010,4.90
Neonatal disorders,Hawaii,15.0,2010,3.50
Neonatal disorders,Idaho,16.0,2010,2.91
Neonatal disorders,Illinois,17.0,2010,4.46
Neonatal disorders,Indiana,18.0,2010,4.27
Neonatal disorders,Iowa,19.0,2010,2.80
Neonatal disorders,Kansas,20.0,2010,3.63
Neonatal disorders,Kentucky,21.0,2010,3.63
Neonatal disorders,Louisiana,22.0,2010,5.20
Neonatal disorders,Maine,23.0,2010,2.87
Neonatal disorders,Maryland,24.0,2010,4.85
Neonatal disorders,Massachusetts,25.0,2010,3.00
Neonatal disorders,Michigan,26.0,2010,4.53
Neonatal disorders,Minnesota,27.0,2010,2.40
Neonatal disorders,Mississippi,28.0,2010,5.77
Neonatal disorders,Missouri,29.0,2010,3.80
Neonatal disorders,Montana,30.0,2010,2.97
Neonatal disorders,Nebraska,31.0,2010,3.05
Neonatal disorders,Nevada,32.0,2010,2.95
Neonatal disorders,New Hampshire,33.0,2010,2.66
Neonatal disorders,New Jersey,34.0,2010,3.54
Neonatal disorders,New Mexico,35.0,2010,3.16
Neonatal disorders,New York,36.0,2010,3.62
Neonatal disorders,North Carolina,37.0,2010,4.94
Neonatal disorders,North Dakota,38.0,2010,3.03
Neonatal disorders,Ohio,39.0,2010,4.31
Neonatal disorders,Oklahoma,40.0,2010,4.07
Neonatal disorders,Oregon,41.0,2010,2.55
Neonatal disorders,Pennsylvania,42.0,2010,4.31
Neonatal disorders,Rhode Island,44.0,2010,4.14
Neonatal disorders,South Carolina,45.0,2010,5.12
Neonatal disorders,South Dakota,46.0,2010,3.28
Neonatal disorders,Tennessee,47.0,2010,4.62
Neonatal disorders,Texas,48.0,2010,3.42
Neonatal disorders,Utah,49.0,2010,2.53
Neonatal disorders,Vermont,50.0,2010,2.41
Neonatal disorders,Virginia,51.0,2010,4.18
Neonatal disorders,Washington,53.0,2010,2.42
Neonatal disorders,West Virginia,54.0,2010,3.85
Neonatal disorders,Wisconsin,55.0,2010,3.26
Neonatal disorders,Wyoming,56.0,2010,3.28
Neonatal disorders,United States,,2014,3.32
Neonatal disorders,Alabama,1.0,2014,5.10
Neonatal disorders,Alaska,2.0,2014,2.35
Neonatal disorders,Arizona,4.0,2014,2.71
Neonatal disorders,Arkansas,5.0,2014,3.88
Neonatal disorders,California,6.0,2014,2.27
Neonatal disorders,Colorado,8.0,2014,2.66
Neonatal disorders,Connecticut,9.0,2014,3.43
Neonatal disorders,Delaware,10.0,2014,4.52
Neonatal disorders,District of Columbia,11.0,2014,6.67
Neonatal disorders,Florida,12.0,2014,3.58
Neonatal disorders,Georgia,13.0,2014,4.39
Neonatal disorders,Hawaii,15.0,2014,3.24
Neonatal disorders,Idaho,16.0,2014,2.57
Neonatal disorders,Illinois,17.0,2014,3.95
Neonatal disorders,Indiana,18.0,2014,3.85
Neonatal disorders,Iowa,19.0,2014,2.52
Neonatal disorders,Kansas,20.0,2014,3.29
Neonatal disorders,Kentucky,21.0,2014,3.31
Neonatal disorders,Louisiana,22.0,2014,4.74
Neonatal disorders,Maine,23.0,2014,2.58
Neonatal disorders,Maryland,24.0,2014,4.24
Neonatal disorders,Massachusetts,25.0,2014,2.64
Neonatal disorders,Michigan,26.0,2014,4.08
Neonatal disorders,Minnesota,27.0,2014,2.13
Neonatal disorders,Mississippi,28.0,2014,5.29
Neonatal disorders,Missouri,29.0,2014,3.40
Neonatal disorders,Montana,30.0,2014,2.62
Neonatal disorders,Nebraska,31.0,2014,2.73
Neonatal disorders,Nevada,32.0,2014,2.65
Neonatal disorders,New Hampshire,33.0,2014,2.38
Neonatal disorders,New Jersey,34.0,2014,3.08
Neonatal disorders,New Mexico,35.0,2014,2.87
Neonatal disorders,New York,36.0,2014,3.10
Neonatal disorders,North Carolina,37.0,2014,4.43
Neonatal disorders,North Dakota,38.0,2014,2.73
Neonatal disorders,Ohio,39.0,2014,3.95
Neonatal disorders,Oklahoma,40.0,2014,3.73
Neonatal disorders,Oregon,41.0,2014,2.22
Neonatal disorders,Pennsylvania,42.0,2014,3.83
Neonatal disorders,Rhode Island,44.0,2014,3.52
Neonatal disorders,South Carolina,45.0,2014,4.56
Neonatal disorders,South Dakota,46.0,2014,2.88
Neonatal disorders,Tennessee,47.0,2014,4.14
Neonatal disorders,Texas,48.0,2014,3.06
Neonatal disorders,Utah,49.0,2014,2.23
Neonatal disorders,Vermont,50.0,2014,2.08
Neonatal disorders,Virginia,51.0,2014,3.68
Neonatal disorders,Washington,53.0,2014,2.14
Neonatal disorders,West Virginia,54.0,2014,3.54
Neonatal disorders,Wisconsin,55.0,2014,2.90
Neonatal disorders,Wyoming,56.0,2014,2.91
Nutritional deficiencies,United States,,1980,1.73
Nutritional deficiencies,Alabama,1.0,1980,2.06
Nutritional deficiencies,Alaska,2.0,1980,2.43
Nutritional deficiencies,Arizona,4.0,1980,2.02
Nutritional deficiencies,Arkansas,5.0,1980,1.73
Nutritional deficiencies,California,6.0,1980,1.09
Nutritional deficiencies,Colorado,8.0,1980,2.71
Nutritional deficiencies,Connecticut,9.0,1980,1.14
Nutritional deficiencies,Delaware,10.0,1980,2.27
Nutritional deficiencies,District of Columbia,11.0,1980,2.20
Nutritional deficiencies,Florida,12.0,1980,1.40
Nutritional deficiencies,Georgia,13.0,1980,2.24
Nutritional deficiencies,Hawaii,15.0,1980,1.67
Nutritional deficiencies,Idaho,16.0,1980,1.93
Nutritional deficiencies,Illinois,17.0,1980,1.82
Nutritional deficiencies,Indiana,18.0,1980,1.87
Nutritional deficiencies,Iowa,19.0,1980,1.92
Nutritional deficiencies,Kansas,20.0,1980,2.38
Nutritional deficiencies,Kentucky,21.0,1980,2.00
Nutritional deficiencies,Louisiana,22.0,1980,2.18
Nutritional deficiencies,Maine,23.0,1980,2.18
Nutritional deficiencies,Maryland,24.0,1980,1.87
Nutritional deficiencies,Massachusetts,25.0,1980,1.46
Nutritional deficiencies,Michigan,26.0,1980,1.87
Nutritional deficiencies,Minnesota,27.0,1980,1.91
Nutritional deficiencies,Mississippi,28.0,1980,2.00
Nutritional deficiencies,Missouri,29.0,1980,2.52
Nutritional deficiencies,Montana,30.0,1980,2.12
Nutritional deficiencies,Nebraska,31.0,1980,1.76
Nutritional deficiencies,Nevada,32.0,1980,2.62
Nutritional deficiencies,New Hampshire,33.0,1980,2.11
Nutritional deficiencies,New Jersey,34.0,1980,1.71
Nutritional deficiencies,New Mexico,35.0,1980,3.06
Nutritional deficiencies,New York,36.0,1980,0.86
Nutritional deficiencies,North Carolina,37.0,1980,1.70
Nutritional deficiencies,North Dakota,38.0,1980,1.90
Nutritional deficiencies,Ohio,39.0,1980,2.15
Nutritional deficiencies,Oklahoma,40.0,1980,1.82
Nutritional deficiencies,Oregon,41.0,1980,1.54
Nutritional deficiencies,Pennsylvania,42.0,1980,1.89
Nutritional deficiencies,Rhode Island,44.0,1980,1.44
Nutritional deficiencies,South Carolina,45.0,1980,2.14
Nutritional deficiencies,South Dakota,46.0,1980,1.89
Nutritional deficiencies,Tennessee,47.0,1980,1.80
Nutritional deficiencies,Texas,48.0,1980,1.84
Nutritional deficiencies,Utah,49.0,1980,2.30
Nutritional deficiencies,Vermont,50.0,1980,1.80
Nutritional deficiencies,Virginia,51.0,1980,2.03
Nutritional deficiencies,Washington,53.0,1980,1.88
Nutritional deficiencies,West Virginia,54.0,1980,2.10
Nutritional deficiencies,Wisconsin,55.0,1980,1.96
Nutritional deficiencies,Wyoming,56.0,1980,2.27
Nutritional deficiencies,United States,,1985,1.72
Nutritional deficiencies,Alabama,1.0,1985,2.10
Nutritional deficiencies,Alaska,2.0,1985,2.25
Nutritional deficiencies,Arizona,4.0,1985,1.87
Nutritional deficiencies,Arkansas,5.0,1985,1.88
Nutritional deficiencies,California,6.0,1985,1.03
Nutritional deficiencies,Colorado,8.0,1985,2.75
Nutritional deficiencies,Connecticut,9.0,1985,1.17
Nutritional deficiencies,Delaware,10.0,1985,2.25
Nutritional deficiencies,District of Columbia,11.0,1985,1.96
Nutritional deficiencies,Florida,12.0,1985,1.28
Nutritional deficiencies,Georgia,13.0,1985,2.30
Nutritional deficiencies,Hawaii,15.0,1985,1.70
Nutritional deficiencies,Idaho,16.0,1985,1.98
Nutritional deficiencies,Illinois,17.0,1985,1.72
Nutritional deficiencies,Indiana,18.0,1985,1.94
Nutritional deficiencies,Iowa,19.0,1985,1.86
Nutritional deficiencies,Kansas,20.0,1985,2.46
Nutritional deficiencies,Kentucky,21.0,1985,2.01
Nutritional deficiencies,Louisiana,22.0,1985,2.31
Nutritional deficiencies,Maine,23.0,1985,2.21
Nutritional deficiencies,Maryland,24.0,1985,1.74
Nutritional deficiencies,Massachusetts,25.0,1985,1.51
Nutritional deficiencies,Michigan,26.0,1985,1.92
Nutritional deficiencies,Minnesota,27.0,1985,1.88
Nutritional deficiencies,Mississippi,28.0,1985,2.05
Nutritional deficiencies,Missouri,29.0,1985,2.50
Nutritional deficiencies,Montana,30.0,1985,2.12
Nutritional deficiencies,Nebraska,31.0,1985,1.80
Nutritional deficiencies,Nevada,32.0,1985,2.48
Nutritional deficiencies,New Hampshire,33.0,1985,2.03
Nutritional deficiencies,New Jersey,34.0,1985,1.70
Nutritional deficiencies,New Mexico,35.0,1985,2.91
Nutritional deficiencies,New York,36.0,1985,0.84
Nutritional deficiencies,North Carolina,37.0,1985,1.78
Nutritional deficiencies,North Dakota,38.0,1985,1.92
Nutritional deficiencies,Ohio,39.0,1985,2.21
Nutritional deficiencies,Oklahoma,40.0,1985,1.91
Nutritional deficiencies,Oregon,41.0,1985,1.53
Nutritional deficiencies,Pennsylvania,42.0,1985,1.77
Nutritional deficiencies,Rhode Island,44.0,1985,1.45
Nutritional deficiencies,South Carolina,45.0,1985,2.21
Nutritional deficiencies,South Dakota,46.0,1985,1.85
Nutritional deficiencies,Tennessee,47.0,1985,1.87
Nutritional deficiencies,Texas,48.0,1985,1.95
Nutritional deficiencies,Utah,49.0,1985,2.42
Nutritional deficiencies,Vermont,50.0,1985,1.85
Nutritional deficiencies,Virginia,51.0,1985,2.05
Nutritional deficiencies,Washington,53.0,1985,1.89
Nutritional deficiencies,West Virginia,54.0,1985,2.15
Nutritional deficiencies,Wisconsin,55.0,1985,1.92
Nutritional deficiencies,Wyoming,56.0,1985,2.34
Nutritional deficiencies,United States,,1990,1.68
Nutritional deficiencies,Alabama,1.0,1990,2.17
Nutritional deficiencies,Alaska,2.0,1990,2.18
Nutritional deficiencies,Arizona,4.0,1990,1.66
Nutritional deficiencies,Arkansas,5.0,1990,2.02
Nutritional deficiencies,California,6.0,1990,0.98
Nutritional deficiencies,Colorado,8.0,1990,2.74
Nutritional deficiencies,Connecticut,9.0,1990,1.17
Nutritional deficiencies,Delaware,10.0,1990,2.07
Nutritional deficiencies,District of Columbia,11.0,1990,1.87
Nutritional deficiencies,Florida,12.0,1990,1.17
Nutritional deficiencies,Georgia,13.0,1990,2.33
Nutritional deficiencies,Hawaii,15.0,1990,1.49
Nutritional deficiencies,Idaho,16.0,1990,1.92
Nutritional deficiencies,Illinois,17.0,1990,1.80
Nutritional deficiencies,Indiana,18.0,1990,1.97
Nutritional deficiencies,Iowa,19.0,1990,1.76
Nutritional deficiencies,Kansas,20.0,1990,2.41
Nutritional deficiencies,Kentucky,21.0,1990,1.97
Nutritional deficiencies,Louisiana,22.0,1990,2.41
Nutritional deficiencies,Maine,23.0,1990,2.02
Nutritional deficiencies,Maryland,24.0,1990,1.53
Nutritional deficiencies,Massachusetts,25.0,1990,1.33
Nutritional deficiencies,Michigan,26.0,1990,1.92
Nutritional deficiencies,Minnesota,27.0,1990,1.72
Nutritional deficiencies,Mississippi,28.0,1990,2.06
Nutritional deficiencies,Missouri,29.0,1990,2.38
Nutritional deficiencies,Montana,30.0,1990,2.08
Nutritional deficiencies,Nebraska,31.0,1990,1.75
Nutritional deficiencies,Nevada,32.0,1990,2.31
Nutritional deficiencies,New Hampshire,33.0,1990,1.93
Nutritional deficiencies,New Jersey,34.0,1990,1.66
Nutritional deficiencies,New Mexico,35.0,1990,2.57
Nutritional deficiencies,New York,36.0,1990,0.81
Nutritional deficiencies,North Carolina,37.0,1990,1.85
Nutritional deficiencies,North Dakota,38.0,1990,1.85
Nutritional deficiencies,Ohio,39.0,1990,2.14
Nutritional deficiencies,Oklahoma,40.0,1990,1.97
Nutritional deficiencies,Oregon,41.0,1990,1.54
Nutritional deficiencies,Pennsylvania,42.0,1990,1.69
Nutritional deficiencies,Rhode Island,44.0,1990,1.27
Nutritional deficiencies,South Carolina,45.0,1990,2.26
Nutritional deficiencies,South Dakota,46.0,1990,1.76
Nutritional deficiencies,Tennessee,47.0,1990,1.94
Nutritional deficiencies,Texas,48.0,1990,2.05
Nutritional deficiencies,Utah,49.0,1990,2.33
Nutritional deficiencies,Vermont,50.0,1990,1.86
Nutritional deficiencies,Virginia,51.0,1990,2.01
Nutritional deficiencies,Washington,53.0,1990,1.75
Nutritional deficiencies,West Virginia,54.0,1990,2.14
Nutritional deficiencies,Wisconsin,55.0,1990,1.80
Nutritional deficiencies,Wyoming,56.0,1990,2.33
Nutritional deficiencies,United States,,1995,1.82
Nutritional deficiencies,Alabama,1.0,1995,2.45
Nutritional deficiencies,Alaska,2.0,1995,2.28
Nutritional deficiencies,Arizona,4.0,1995,1.86
Nutritional deficiencies,Arkansas,5.0,1995,2.38
Nutritional deficiencies,California,6.0,1995,1.01
Nutritional deficiencies,Colorado,8.0,1995,2.70
Nutritional deficiencies,Connecticut,9.0,1995,1.35
Nutritional deficiencies,Delaware,10.0,1995,2.13
Nutritional deficiencies,District of Columbia,11.0,1995,1.86
Nutritional deficiencies,Florida,12.0,1995,1.21
Nutritional deficiencies,Georgia,13.0,1995,2.57
Nutritional deficiencies,Hawaii,15.0,1995,1.54
Nutritional deficiencies,Idaho,16.0,1995,2.06
Nutritional deficiencies,Illinois,17.0,1995,1.94
Nutritional deficiencies,Indiana,18.0,1995,2.16
Nutritional deficiencies,Iowa,19.0,1995,1.82
Nutritional deficiencies,Kansas,20.0,1995,2.63
Nutritional deficiencies,Kentucky,21.0,1995,2.21
Nutritional deficiencies,Louisiana,22.0,1995,2.77
Nutritional deficiencies,Maine,23.0,1995,2.22
Nutritional deficiencies,Maryland,24.0,1995,1.64
Nutritional deficiencies,Massachusetts,25.0,1995,1.45
Nutritional deficiencies,Michigan,26.0,1995,2.11
Nutritional deficiencies,Minnesota,27.0,1995,1.75
Nutritional deficiencies,Mississippi,28.0,1995,2.25
Nutritional deficiencies,Missouri,29.0,1995,2.56
Nutritional deficiencies,Montana,30.0,1995,2.25
Nutritional deficiencies,Nebraska,31.0,1995,1.90
Nutritional deficiencies,Nevada,32.0,1995,2.03
Nutritional deficiencies,New Hampshire,33.0,1995,2.14
Nutritional deficiencies,New Jersey,34.0,1995,1.75
Nutritional deficiencies,New Mexico,35.0,1995,2.51
Nutritional deficiencies,New York,36.0,1995,0.91
Nutritional deficiencies,North Carolina,37.0,1995,2.10
Nutritional deficiencies,North Dakota,38.0,1995,1.99
Nutritional deficiencies,Ohio,39.0,1995,2.34
Nutritional deficiencies,Oklahoma,40.0,1995,2.25
Nutritional deficiencies,Oregon,41.0,1995,1.59
Nutritional deficiencies,Pennsylvania,42.0,1995,1.71
Nutritional deficiencies,Rhode Island,44.0,1995,1.34
Nutritional deficiencies,South Carolina,45.0,1995,2.54
Nutritional deficiencies,South Dakota,46.0,1995,1.85
Nutritional deficiencies,Tennessee,47.0,1995,2.25
Nutritional deficiencies,Texas,48.0,1995,2.30
Nutritional deficiencies,Utah,49.0,1995,2.58
Nutritional deficiencies,Vermont,50.0,1995,2.06
Nutritional deficiencies,Virginia,51.0,1995,2.24
Nutritional deficiencies,Washington,53.0,1995,1.82
Nutritional deficiencies,West Virginia,54.0,1995,2.27
Nutritional deficiencies,Wisconsin,55.0,1995,1.99
Nutritional deficiencies,Wyoming,56.0,1995,2.56
Nutritional deficiencies,United States,,2000,1.80
Nutritional deficiencies,Alabama,1.0,2000,2.59
Nutritional deficiencies,Alaska,2.0,2000,2.33
Nutritional deficiencies,Arizona,4.0,2000,1.52
Nutritional deficiencies,Arkansas,5.0,2000,2.60
Nutritional deficiencies,California,6.0,2000,1.01
Nutritional deficiencies,Colorado,8.0,2000,2.52
Nutritional deficiencies,Connecticut,9.0,2000,1.31
Nutritional deficiencies,Delaware,10.0,2000,2.10
Nutritional deficiencies,District of Columbia,11.0,2000,1.48
Nutritional deficiencies,Florida,12.0,2000,1.16
Nutritional deficiencies,Georgia,13.0,2000,2.65
Nutritional deficiencies,Hawaii,15.0,2000,1.50
Nutritional deficiencies,Idaho,16.0,2000,2.11
Nutritional deficiencies,Illinois,17.0,2000,1.77
Nutritional deficiencies,Indiana,18.0,2000,2.17
Nutritional deficiencies,Iowa,19.0,2000,1.71
Nutritional deficiencies,Kansas,20.0,2000,2.63
Nutritional deficiencies,Kentucky,21.0,2000,2.32
Nutritional deficiencies,Louisiana,22.0,2000,3.01
Nutritional deficiencies,Maine,23.0,2000,2.15
Nutritional deficiencies,Maryland,24.0,2000,1.49
Nutritional deficiencies,Massachusetts,25.0,2000,1.29
Nutritional deficiencies,Michigan,26.0,2000,2.24
Nutritional deficiencies,Minnesota,27.0,2000,1.57
Nutritional deficiencies,Mississippi,28.0,2000,2.36
Nutritional deficiencies,Missouri,29.0,2000,2.54
Nutritional deficiencies,Montana,30.0,2000,2.28
Nutritional deficiencies,Nebraska,31.0,2000,1.91
Nutritional deficiencies,Nevada,32.0,2000,1.93
Nutritional deficiencies,New Hampshire,33.0,2000,1.98
Nutritional deficiencies,New Jersey,34.0,2000,1.60
Nutritional deficiencies,New Mexico,35.0,2000,2.29
Nutritional deficiencies,New York,36.0,2000,0.89
Nutritional deficiencies,North Carolina,37.0,2000,2.23
Nutritional deficiencies,North Dakota,38.0,2000,1.93
Nutritional deficiencies,Ohio,39.0,2000,2.36
Nutritional deficiencies,Oklahoma,40.0,2000,2.39
Nutritional deficiencies,Oregon,41.0,2000,1.58
Nutritional deficiencies,Pennsylvania,42.0,2000,1.62
Nutritional deficiencies,Rhode Island,44.0,2000,1.22
Nutritional deficiencies,South Carolina,45.0,2000,2.72
Nutritional deficiencies,South Dakota,46.0,2000,1.77
Nutritional deficiencies,Tennessee,47.0,2000,2.54
Nutritional deficiencies,Texas,48.0,2000,2.47
